geoid,agg_income,households,mean_income
51013_ca_01,336636047.7749208,1060.0685387765727,317560.64392160263
51013_ca_02,106764821.32044797,444.80046236854236,240028.57540194568
51013_ca_03,110306113.14878891,432.2664359861592,255180.84210526312
51013_ca_04,1377329434.3504004,8845.95862208168,155701.54611759642
51013_ca_05,460131159.2350718,2835.2002615165597,162292.29570857398
51013_ca_06,178317507.96116504,697.968932038835,255480.58054716318
51013_ca_07,191659236.16236162,1014.5239852398523,188915.43122763117
51013_ca_08,917948071.5220098,6462.304765325258,142046.54606316885
51013_ca_09,337796719.9414819,3077.67981518516,109756.94036618274
51013_ca_10,229937125.38752887,943.6871510019124,243658.21357576468
51013_ca_11,877943212.6279231,5500.248853901366,159618.81652049103
51013_ca_12,522240920.28536546,2694.3675722353687,193826.9023376387
51013_ca_13,108309644.27184466,492.21747572815536,220044.28857715428
51013_ca_14,223568000.0,1165.0,191903.8626609442
51013_ca_15,314891595.77579087,1106.6154049855838,284553.7793501917
51013_ca_16,512304735.4912941,2395.50611279635,213860.75065918517
51013_ca_17,136284987.6473706,667.844832337991,204066.84464453242
51013_ca_18,165790436.56942478,689.1824665874036,240561.0191889565
51013_ca_19,328272328.1370051,1845.550884582074,177872.27156911607
51013_ca_20,111485249.28774929,600.6908831908831,185595.04132231406
51013_ca_21,194045753.6387142,1173.395171768619,165371.18807659278
51013_ca_22,10869734.44633978,83.41806699814903,130304.31940578256
51013_ca_23,64987182.55500038,440.9925124916101,147365.72779393112
51013_ca_24,58584951.16772824,409.1295116772824,143194.1463414634
51013_ca_25,353743881.35593224,2914.322033898305,121381.19166012389
51013_ca_26,247405300.0,1984.0,124700.25201612903
51013_ca_27,134078452.87267086,831.9237742452591,161166.75231971825
51013_ca_28,56667738.70056497,260.225988700565,217763.56382978722
51013_ca_29,978994800.0,7312.0,133888.78555798688
51013_ca_30,133894926.06198442,1001.0821833320484,133750.1838423718
51013_ca_31,330800200.0,1596.0,207268.29573934837
51013_ca_32,191815385.6897487,745.2229294915181,257393.29548089526
51013_ca_33,496975957.62371683,3919.623124485978,126791.7710044867
51013_ca_34,37551076.67172791,128.00886729426057,293347.4646362374
51013_ca_35,590982200.0018781,3468.585679485286,170381.3180966531
51013_ca_36,264723800.6586517,2279.6383250307263,116125.35100500366
51013_ca_37,24509718.644067798,174.67796610169492,140313.739569183
51013_ca_38,259459301.97285873,1688.2068182888759,153689.28685872752
51013_ca_39,603902255.0,4299.5,140458.71729270846
51013_ca_40,104188707.02702703,358.55135135135134,290582.3855755895
51013_ca_41,58843958.42696629,125.76404494382022,467891.74484052527
51013_ca_42,186806217.22846442,399.250936329588,467891.7448405254
51013_ca_43,302417185.7580559,824.2688509384103,366891.4401093299
51013_ca_44,7596180.45112782,29.32330827067669,259049.23076923078
51013_ca_45,96063491.14131482,310.93865157398994,308946.76700704696
51013_ca_46,17345106.072874494,51.59514170040486,336177.1186440678
51013_ca_47,97190135.09873584,288.5920570657413,336773.4236586973
51013_ca_48,239688498.66674194,1056.621566192519,226844.2234531016
51013_ca_49,189498890.25255796,599.349254101343,316174.3990766957
51013_ca_50,224696948.60450768,2989.1785431713424,75170.13298446785
51013_ca_51,394241018.5770751,2503.3320158102765,157486.5084164505
51013_ca_52,485739500.0,3549.0,136866.5821358129
51013_ca_53,519264007.8586732,4642.172155071351,111857.98167597083
51013_ca_54,457392407.78443116,1628.7604790419161,280822.3883560108
51013_ca_55,270044266.60640496,980.4523071625345,275428.2535046739
51013_ca_56,364063730.0283286,2596.773371104816,140198.4994452693
51013_ca_57,177649800.0,1598.0,111170.08760951189
51013_ca_58,44166951.8918919,151.9945945945946,290582.3855755895
51013_ca_59,229349008.02651286,514.7871127951773,445522.0465430841
51013_ca_60,67959625.822685,142.65772348610756,476382.37988077186
51013_ca_61,297336358.5088572,1131.560580311431,262766.62839122897
51013_ca_62,305584102.249106,2341.425862255805,130511.97015253622
