"geoid","agg_income","households","mean_income"
"51013_ca_01",336636047.774915,1060.06853877658,317560.643921595
"51013_ca_02",107491831.629726,448.199157929243,239830.507773279
"51013_ca_03",110306113.148789,432.266435986161,255180.842105261
"51013_ca_04",1377329434.35041,8845.9586220817,155701.546117597
"51013_ca_05",460131159.235072,2835.20026151656,162292.295708574
"51013_ca_06",178317507.961165,697.968932038843,255480.58054716
"51013_ca_07",191851007.777775,1015.52222222222,188918.571725546
"51013_ca_08",917948071.522009,6462.30476532527,142046.546063168
"51013_ca_09",337796719.941481,3077.67981518515,109756.940366183
"51013_ca_10",229937125.387527,943.687151001921,243658.213575761
"51013_ca_11",877943212.627926,5500.24885390134,159618.816520492
"51013_ca_12",535562290.505327,2751.5325468547,194641.452130934
"51013_ca_13",108309644.271846,492.21747572816,220044.288577155
"51013_ca_14",223568000.000003,1164.99999999999,191903.862660948
"51013_ca_15",314891595.775792,1106.61540498558,284553.779350194
"51013_ca_16",512304735.491296,2395.50611279637,213860.750659185
"51013_ca_17",136284987.647371,667.844832337994,204066.844644532
"51013_ca_18",165790436.569427,689.1824665874,240561.01918896
"51013_ca_19",328272328.137005,1845.55088458207,177872.271569117
"51013_ca_20",111485249.287748,600.690883190885,185595.041322312
"51013_ca_21",194060270.215184,1173.47073552425,165372.909899187
"51013_ca_22",10869734.4463398,83.4180669981491,130304.319405783
"51013_ca_23",67244681.4229251,466.667984189723,144095.339087129
"51013_ca_24",58709600.0000004,409.999999999996,143194.146341466
"51013_ca_25",353743881.355932,2914.3220338983,121381.191660124
"51013_ca_26",247405299.999999,1984,124700.252016128
"51013_ca_27",134078452.87267,831.923774245251,161166.752319719
"51013_ca_28",56667738.7005649,260.225988700565,217763.563829787
"51013_ca_29",978994800,7312.00000000001,133888.785557987
"51013_ca_30",133894926.061983,1001.08218333206,133750.183842369
"51013_ca_31",330800199.999998,1596,207268.295739348
"51013_ca_32",191815385.689747,745.22292949151,257393.295480896
"51013_ca_33",497165651.106022,3920.57284515636,126809.441054065
"51013_ca_34",37561690.6613431,128.031552006552,293378.390503467
"51013_ca_35",590982200.001861,3468.58567948525,170381.31809665
"51013_ca_36",264829573.476111,2280.60955518945,116122.276552556
"51013_ca_37",24509718.6440678,174.677966101695,140313.739569183
"51013_ca_38",259459301.97286,1688.20681828885,153689.286858731
"51013_ca_39",603902255,4299.5,140458.717292708
"51013_ca_40",104188707.027027,358.551351351353,290582.385575589
"51013_ca_41",59512639.7727274,127.193181818182,467891.744840525
"51013_ca_42",188929015.151514,403.787878787877,467891.744840524
"51013_ca_43",308953766.029259,838.362685004874,368520.416706598
"51013_ca_44",7596180.45112782,29.3233082706767,259049.230769231
"51013_ca_45",96413454.8236374,312.152168487603,308866.843023282
"51013_ca_46",17345106.0728745,51.5951417004049,336177.118644067
"51013_ca_47",97190135.0987361,288.592057065741,336773.423658698
"51013_ca_48",239688498.666741,1056.62156619252,226844.223453101
"51013_ca_49",189498890.252557,599.349254101347,316174.399076692
"51013_ca_50",224696948.604506,2989.17854317135,75170.1329844672
"51013_ca_51",394241018.577075,2503.33201581028,157486.508416451
"51013_ca_52",485739500,3549,136866.582135813
"51013_ca_53",620655749.237976,5304.75146541619,116999.967535573
"51013_ca_54",457392407.784437,1628.76047904191,280822.388356016
"51013_ca_55",270044266.606404,980.452307162529,275428.253504675
"51013_ca_56",365908699.999996,2604.99999999996,140463.992322458
"51013_ca_57",177649800,1598,111170.087609512
"51013_ca_58",44166951.8918918,151.994594594594,290582.385575589
"51013_ca_59",296140997.410278,710.802921517345,416628.841054997
"51013_ca_60",98281316.5415926,232.306305158998,423067.796090707
"51013_ca_61",297336358.508857,1131.56058031144,262766.628391227
"51013_ca_62",362544330.820542,2868.56871939862,126385.095245878
